Spieler,Verein,Liga,Competition,Position,Markt,Alter,Altersband,Datenquelle,PSV-99,Speed Flag,Speed Score,Δ PSV-99,HSR Distance P60BIP,Sprint Distance P60BIP,HI Distance BIP P60BIP,Explosive Acceleration to Sprint Count P60BIP,BIP Score,BIP Level,Δ HSR BIP,HSR Distance OTIP P30OTIP,Sprint Distance OTIP P30OTIP,HI Distance OTIP P30OTIP,Explosive Acceleration to Sprint Count OTIP P30OTIP,OTIP Score,OTIP Pass,Δ HSR OTIP,TOP 3 Time to HSR,TOP 3 Time to HSR post-COD,TOP 3 Time to Sprint,TOP 3 Time to 505 around 90,Burst Score,Δ T→HSR,Physical Score,IFI Percentile,IFI Label,Final Tier,Pct_Territorial dominance,Lbl_Territorial dominance,Pct_Composure,Lbl_Composure,Pct_Aerial threat,Lbl_Aerial threat,Pct_Intelligent defence,Lbl_Intelligent defence,Pct_Involvement,Lbl_Involvement,Pct_Progression,Lbl_Progression,Pct_Chance prevention,Lbl_Chance prevention,Pct_Defensive heading,Lbl_Defensive heading,Pct_Active defence,Lbl_Active defence,Pct_Providing teammates,Lbl_Providing teammates,Pct_Passing quality,Lbl_Passing quality,Pct_Run quality,Lbl_Run quality,Pct_Box threat,Lbl_Box threat,Pct_Poaching,Lbl_Poaching,Pct_Finishing,Lbl_Finishing,Pct_Hold-up play,Lbl_Hold-up play,Pct_Pressing,Lbl_Pressing,Pct_Dribbling,Lbl_Dribbling,Minuten,Spielertyp
Karim Adeyemi,Borussia Dortmund,BL DE,GER - Bundesliga,Midfielder,DACH,24,24+,vollständig,31.57,🔵 HIGH,3.0,3.03,811.81,431.56,1243.37,2.02,4.0,🔼 HIGH,138.9,452.78,250.97,703.75,1.28,4.0,✅ YES,85.7,0.61,0.66,1.12,1.93,4.0,-0.05,18.0,0.336,BELOW,🟡 WATCHLIST,,,,,,,0.066,WEAK,0.109,WEAK,0.464,BELOW,,,,,0.019,WEAK,0.929,ELITE,0.426,BELOW,,,0.984,ELITE,,,,,,,,,,,750,Allrounder
Josha Mamadou Karaboue Vagnoman,Stuttgart,BL DE,GER - Bundesliga,Fullback,DACH,26,24+,vollständig,31.16,🔵 HIGH,3.0,2.62,834.9,347.49,1182.39,2.06,4.0,🔼 HIGH,161.9,506.3,209.1,715.4,1.14,4.0,✅ YES,139.2,0.66,0.68,1.28,1.9,4.0,0.0,18.0,0.233,WEAK,🟡 WATCHLIST,0.508,AVERAGE,,,,,0.372,BELOW,0.236,WEAK,0.056,WEAK,0.514,AVERAGE,,,0.338,BELOW,0.326,BELOW,0.162,WEAK,0.893,STRONG,,,,,,,,,,,,,1583,Flügelläufer
Dos santos Enzo De Pina Duarte ,Borussia Dortmund U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,17,U21,vollständig,31.52,🔵 HIGH,3.0,2.98,690.69,355.8,1046.5,0.85,4.0,🔼 HIGH,17.7,496.76,253.12,749.88,0.72,4.0,✅ YES,129.7,0.64,0.64,1.31,1.84,4.0,-0.02,18.0,0.349,BELOW,🟡 WATCHLIST,,,,,,,0.663,AVERAGE,0.311,BELOW,0.106,WEAK,,,,,0.869,STRONG,0.672,AVERAGE,0.115,WEAK,,,0.322,BELOW,,,,,,,,,,,752,Defensivmittelfeld
Safyan Toure,Köln II,RL West,GER - Regionalliga West,Winger,DACH,20,U21,vollständig,31.23,🔵 HIGH,3.0,2.69,847.54,447.78,1295.32,2.59,4.0,🔼 HIGH,174.6,476.07,187.68,663.75,0.76,4.0,✅ YES,109.0,0.58,0.58,1.15,1.8,4.0,-0.08,18.0,0.307,BELOW,🟡 WATCHLIST,,,,,,,,,0.103,WEAK,,,,,,,,,0.368,BELOW,0.091,WEAK,0.448,BELOW,0.563,AVERAGE,,,0.926,ELITE,,,0.516,AVERAGE,0.291,BELOW,905,Allrounder
Jack Lars Wardius,St. Pauli U19,U19 BL,GER - U19 Bundesliga,Striker,DACH,19,U21,vollständig,31.23,🔵 HIGH,3.0,2.69,710.72,409.8,1120.51,2.42,4.0,🔼 HIGH,37.8,432.56,229.92,662.49,0.88,4.0,✅ YES,65.5,0.61,0.61,1.2,1.85,4.0,-0.05,18.0,0.959,ELITE,🔥 ELITE TARGET,,,,,0.566,AVERAGE,,,0.398,BELOW,,,,,,,,,0.88,STRONG,,,0.927,ELITE,,,0.868,STRONG,0.83,STRONG,0.387,BELOW,0.928,ELITE,,,554,Vollstürmer
Sidiki Camara,Yverdon Sport,SUI CL,SUI - Challenge League,Midfielder,DACH,24,24+,vollständig,31.63,🔵 HIGH,3.0,3.09,943.05,538.31,1481.37,3.61,4.0,🔼 HIGH,270.1,489.33,253.92,743.26,2.14,4.0,✅ YES,122.3,0.61,0.61,1.14,1.89,4.0,-0.05,18.0,0.406,BELOW,🟡 WATCHLIST,,,,,,,0.619,AVERAGE,0.542,AVERAGE,0.29,BELOW,,,,,0.494,BELOW,0.236,WEAK,0.528,AVERAGE,,,0.536,AVERAGE,,,,,,,,,,,670,Defensivmittelfeld
Luca Jaquenoud,Stade Nyonnais,SUI CL,SUI - Challenge League,Fullback,DACH,24,24+,vollständig,31.29,🔵 HIGH,3.0,2.75,716.58,332.48,1049.06,2.11,4.0,🔼 HIGH,43.6,417.22,165.84,583.06,1.24,4.0,✅ YES,50.2,0.62,0.62,1.17,1.97,4.0,-0.04,18.0,0.484,BELOW,🟡 WATCHLIST,0.1,WEAK,,,,,0.48,BELOW,0.811,STRONG,0.755,STRONG,0.329,BELOW,,,0.507,AVERAGE,0.334,BELOW,0.671,AVERAGE,0.39,BELOW,,,,,,,,,,,,,1607,Aufbauspieler
Erencan Yardımcı,Eintracht Braunschweig,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Striker,DACH,24,24+,vollständig,31.75,🔵 HIGH,3.0,3.21,801.71,477.81,1279.52,2.23,4.0,🔼 HIGH,128.8,401.35,200.41,601.76,0.85,4.0,✅ YES,34.3,0.64,0.66,1.21,1.82,4.0,-0.02,18.0,0.415,BELOW,🟡 WATCHLIST,,,,,0.817,STRONG,,,0.432,BELOW,,,,,,,,,0.067,WEAK,,,0.473,BELOW,,,0.541,AVERAGE,0.258,BELOW,0.599,AVERAGE,0.616,AVERAGE,,,1695,Kopfballstürmer
Mika Stuhlmacher,Meppen,RL Nord,GER - Regionalliga Nord,Winger,DACH,24,24+,vollständig,31.15,🔵 HIGH,3.0,2.61,798.27,374.99,1173.25,1.84,4.0,🔼 HIGH,125.3,412.47,172.8,585.27,0.66,4.0,✅ YES,45.4,0.61,0.7,1.18,1.88,4.0,-0.05,18.0,0.877,STRONG,🔥 ELITE TARGET,,,,,,,,,0.858,STRONG,,,,,,,,,0.759,STRONG,0.542,AVERAGE,0.672,AVERAGE,0.805,STRONG,,,0.821,STRONG,,,0.893,STRONG,0.285,BELOW,1079,Tiefenläufer + Box
Bennedikt Wüstenhagen,Borussia Dortmund II,RL West,GER - Regionalliga West,Striker,DACH,21,U21,vollständig,31.23,🔵 HIGH,3.0,2.69,837.48,379.71,1217.2,2.97,4.0,🔼 HIGH,164.5,530.78,219.3,750.09,1.54,4.0,✅ YES,163.7,0.57,0.69,1.06,1.77,4.0,-0.09,18.0,0.792,STRONG,🔥 ELITE TARGET,,,,,0.955,ELITE,,,0.278,BELOW,,,,,,,,,0.303,BELOW,,,0.222,WEAK,,,0.914,ELITE,0.768,STRONG,0.711,AVERAGE,0.686,AVERAGE,,,737,Vollstürmer
Saidy Janko,Young Boys,SUI SL,SUI - Super League,Fullback,DACH,31,24+,vollständig,31.08,🔵 HIGH,3.0,2.54,796.97,440.91,1237.88,4.19,4.0,🔼 HIGH,124.0,474.28,232.35,706.63,2.04,4.0,✅ YES,107.2,0.57,0.59,1.14,1.87,4.0,-0.09,18.0,0.762,STRONG,🔥 ELITE TARGET,0.576,AVERAGE,,,,,0.538,AVERAGE,0.832,STRONG,0.574,AVERAGE,0.154,WEAK,,,0.826,STRONG,0.704,AVERAGE,0.712,AVERAGE,0.745,AVERAGE,,,,,,,,,,,,,1511,Offensiver AV
Fabio Amado Uri Baldé,Hamburger SV,BL DE,GER - Bundesliga,Winger,DACH,21,U21,vollständig,32.03,⚡ ELITE,4.0,3.49,709.51,418.97,1128.49,1.92,4.0,🔼 HIGH,36.6,374.62,188.28,562.89,0.0,3.0,✅ YES,7.6,0.62,0.7,1.2,2.23,3.0,-0.04,18.0,0.182,WEAK,🟡 WATCHLIST,,,,,,,,,0.333,BELOW,,,,,,,,,0.6,AVERAGE,0.491,BELOW,0.3,BELOW,0.091,WEAK,,,0.148,WEAK,,,0.135,WEAK,0.609,AVERAGE,211,Dribbler
Kevin Kortum,Holstein Kiel U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,19,U21,vollständig,31.0,🔵 HIGH,3.0,2.46,1149.22,602.57,1751.79,1.43,4.0,🔼 HIGH,476.3,554.33,331.94,886.27,0.91,4.0,✅ YES,187.3,0.64,0.68,1.5,1.88,3.0,-0.02,17.5,0.064,WEAK,🟡 WATCHLIST,,,,,,,0.04,WEAK,0.004,WEAK,0.133,WEAK,,,,,0.007,WEAK,0.566,AVERAGE,0.022,WEAK,,,0.978,ELITE,,,,,,,,,,,380,Allrounder
Adrián Kaprálik,Holstein Kiel,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Midfielder,DACH,24,24+,vollständig,31.35,🔵 HIGH,3.0,2.81,793.43,394.82,1188.25,2.92,4.0,🔼 HIGH,120.5,387.58,109.91,497.48,0.94,4.0,✅ YES,20.5,0.62,0.63,1.12,2.03,3.0,-0.04,17.5,0.074,WEAK,🟡 WATCHLIST,,,,,,,0.037,WEAK,0.012,WEAK,0.327,BELOW,,,,,0.059,WEAK,0.43,BELOW,0.037,WEAK,,,0.929,ELITE,,,,,,,,,,,842,Allrounder
Sahin  Balta,Eintracht Frankfurt U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,18,U21,vollständig,31.2,🔵 HIGH,3.0,2.66,774.1,341.14,1115.25,0.99,4.0,🔼 HIGH,101.1,471.85,185.99,657.84,0.37,4.0,✅ YES,104.8,0.62,0.62,1.37,2.2,3.0,-0.04,17.5,0.85,STRONG,🔥 ELITE TARGET,0.917,ELITE,,,,,0.677,AVERAGE,0.688,AVERAGE,0.833,STRONG,0.261,BELOW,,,0.738,AVERAGE,0.726,AVERAGE,0.843,STRONG,0.46,BELOW,,,,,,,,,,,,,663,Aufbauspieler
Jannic Ehlers,Erzgebirge Aue,3.Liga DE,GER - 3. Liga,Winger,DACH,23,U23,vollständig,31.83,🔵 HIGH,3.0,3.29,821.92,484.65,1306.57,3.14,4.0,🔼 HIGH,149.0,416.68,247.77,664.44,0.37,4.0,✅ YES,49.6,0.61,0.61,1.26,2.07,3.0,-0.05,17.5,0.329,BELOW,🟡 WATCHLIST,,,,,,,,,0.651,AVERAGE,,,,,,,,,0.377,BELOW,0.346,BELOW,0.564,AVERAGE,0.418,BELOW,,,0.296,BELOW,,,0.15,WEAK,0.574,AVERAGE,893,Allrounder
Tom  Bader,Augsburg U19,U19 BL,GER - U19 Bundesliga,Striker,DACH,18,U21,vollständig,31.8,🔵 HIGH,3.0,3.26,685.56,464.23,1149.79,6.39,4.0,🔼 HIGH,12.6,401.7,225.49,627.19,2.22,4.0,✅ YES,34.6,0.57,0.61,1.09,2.06,3.0,-0.09,17.5,0.849,STRONG,🔥 ELITE TARGET,,,,,0.087,WEAK,,,0.489,BELOW,,,,,,,,,0.961,ELITE,,,0.994,ELITE,,,0.581,AVERAGE,0.989,ELITE,0.413,BELOW,0.53,AVERAGE,,,469,Abschlussspieler
Loïc  Socka Bongué,Stade Lausanne-Ouchy,SUI CL,SUI - Challenge League,Striker,DACH,28,24+,vollständig,32.48,⚡ ELITE,4.0,3.94,632.2,440.21,1072.41,1.51,3.0,🔼 HIGH,-40.8,339.11,200.58,539.69,0.87,3.0,✅ YES,-27.9,0.66,0.72,1.25,1.89,4.0,0.0,17.5,0.24,WEAK,🟡 WATCHLIST,,,,,0.779,STRONG,,,0.289,BELOW,,,,,,,,,0.094,WEAK,,,0.469,BELOW,,,0.619,AVERAGE,0.038,WEAK,0.975,ELITE,0.043,WEAK,,,352,Lauerstürmer
Umar Sahro Saho,Wil,SUI CL,SUI - Challenge League,Fullback,DACH,26,24+,vollständig,31.21,🔵 HIGH,3.0,2.67,732.79,390.63,1123.42,3.13,4.0,🔼 HIGH,59.8,383.22,172.73,555.95,1.35,4.0,✅ YES,16.2,0.57,0.57,1.14,2.05,3.0,-0.09,17.5,0.618,AVERAGE,🔥 ELITE TARGET,0.307,BELOW,,,,,0.632,AVERAGE,0.248,WEAK,0.549,AVERAGE,0.646,AVERAGE,,,0.734,AVERAGE,0.458,BELOW,0.578,AVERAGE,0.813,STRONG,,,,,,,,,,,,,1051,Flügelläufer
Fin-Luca Rüdiger,Hannover 96 U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,18,U21,vollständig,31.51,🔵 HIGH,3.0,2.97,684.87,372.83,1057.7,2.36,4.0,🔼 HIGH,11.9,379.99,177.94,557.93,1.49,4.0,✅ YES,12.9,0.58,0.6,1.12,2.08,3.0,-0.08,17.5,0.954,ELITE,🔥 ELITE TARGET,0.881,STRONG,,,,,0.911,ELITE,0.895,STRONG,0.831,STRONG,0.375,BELOW,,,0.951,ELITE,0.723,AVERAGE,0.693,AVERAGE,0.702,AVERAGE,,,,,,,,,,,,,1555,Offensiver AV
Fadih Vasic,Rot-Weiss Essen U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,18,U21,vollständig,31.05,🔵 HIGH,3.0,2.51,882.43,412.41,1294.83,1.83,4.0,🔼 HIGH,209.5,411.58,178.16,589.74,0.92,4.0,✅ YES,44.5,0.57,0.65,1.13,2.02,3.0,-0.09,17.5,0.913,ELITE,🔥 ELITE TARGET,,,,,,,,,0.796,STRONG,,,,,,,,,0.796,STRONG,0.976,ELITE,0.85,STRONG,0.755,STRONG,,,0.667,AVERAGE,,,0.569,AVERAGE,0.491,BELOW,975,Tiefenläufer + Box
Raif Adam,Hamburger SV II,RL Nord,GER - Regionalliga Nord,Winger,DACH,21,U21,vollständig,31.25,🔵 HIGH,3.0,2.71,851.74,427.07,1278.8,2.03,4.0,🔼 HIGH,178.8,369.05,130.8,499.84,0.42,4.0,✅ YES,2.0,0.63,0.7,1.22,2.01,3.0,-0.03,17.5,0.918,ELITE,🔥 ELITE TARGET,,,,,,,,,0.602,AVERAGE,,,,,,,,,0.823,STRONG,0.892,STRONG,0.819,STRONG,0.499,BELOW,,,0.784,STRONG,,,0.619,AVERAGE,0.902,ELITE,1228,Läufer + Dribbler
Marcello Bouvier,Eintracht Frankfurt U17,U17 BL,GER - U17 Bundesliga,Striker,DACH,17,U21,vollständig,31.04,🔵 HIGH,3.0,2.5,886.66,412.32,1298.98,0.94,4.0,🔼 HIGH,213.7,403.85,204.37,608.22,0.54,4.0,✅ YES,36.8,0.59,0.62,1.26,2.15,3.0,-0.07,17.5,0.788,STRONG,🔥 ELITE TARGET,,,,,0.488,BELOW,,,0.409,BELOW,,,,,,,,,0.86,STRONG,,,0.671,AVERAGE,,,0.773,STRONG,0.589,AVERAGE,0.166,WEAK,0.873,STRONG,,,519,Lauerstürmer
Thierry Fidjeu-Tazemeta,Borussia Dortmund U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,19,U21,vollständig,31.55,🔵 HIGH,3.0,3.01,781.26,429.32,1210.57,1.92,4.0,🔼 HIGH,108.3,447.26,151.37,598.63,0.39,4.0,✅ YES,80.2,0.64,0.69,1.17,2.2,3.0,-0.02,17.5,0.87,STRONG,🔥 ELITE TARGET,,,,,,,,,0.409,BELOW,,,,,,,,,0.785,STRONG,0.228,WEAK,0.94,ELITE,0.923,ELITE,,,0.936,ELITE,,,0.708,AVERAGE,0.652,AVERAGE,658,Komplettflügel
Ranjan Neelakandan,Yverdon Sport,SUI CL,SUI - Challenge League,Winger,DACH,21,U21,vollständig,32.27,⚡ ELITE,4.0,3.73,753.76,486.46,1240.22,1.64,4.0,🔼 HIGH,80.8,321.8,161.84,483.64,0.53,3.0,✅ YES,-45.2,0.62,0.73,1.27,2.03,2.0,-0.04,17.5,0.795,STRONG,🔥 ELITE TARGET,,,,,,,,,0.932,ELITE,,,,,,,,,0.387,BELOW,0.361,BELOW,0.983,ELITE,0.669,AVERAGE,,,0.105,WEAK,,,0.817,STRONG,0.893,STRONG,383,Komplettflügel
Tim Janßen,Jeddeloh,RL Nord,GER - Regionalliga Nord,Fullback,DACH,27,24+,vollständig,31.76,🔵 HIGH,3.0,3.22,792.46,412.16,1204.62,2.89,4.0,🔼 HIGH,119.5,389.7,183.25,572.96,1.15,4.0,✅ YES,22.6,0.52,0.55,0.98,2.0,3.0,-0.14,17.5,0.595,AVERAGE,🔥 ELITE TARGET,0.575,AVERAGE,,,,,0.145,WEAK,0.037,WEAK,0.704,AVERAGE,0.781,STRONG,,,0.08,WEAK,0.908,ELITE,0.674,AVERAGE,0.954,ELITE,,,,,,,,,,,,,1193,Offensiver AV
Alphonso Davies,Bayern München,BL DE,GER - Bundesliga,Fullback,DACH,26,24+,vollständig,31.2,🔵 HIGH,3.0,2.66,743.55,332.67,1076.22,2.65,4.0,🔼 HIGH,70.6,496.73,216.96,713.69,1.23,4.0,✅ YES,129.7,0.62,0.66,1.18,2.34,3.0,-0.04,17.5,0.982,ELITE,🔥 ELITE TARGET,0.979,ELITE,,,,,0.979,ELITE,0.986,ELITE,0.251,BELOW,0.905,ELITE,,,0.993,ELITE,0.707,AVERAGE,0.718,AVERAGE,0.914,ELITE,,,,,,,,,,,,,468,Offensiver AV
Miguel Adje,Borussia Dortmund U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,18,U21,vollständig,31.03,🔵 HIGH,3.0,2.49,673.19,326.11,999.3,1.48,4.0,🔼 HIGH,0.2,500.7,233.49,734.19,0.95,4.0,✅ YES,133.6,0.6,0.64,1.33,2.05,3.0,-0.06,17.5,0.399,BELOW,🟡 WATCHLIST,0.543,AVERAGE,,,,,0.613,AVERAGE,0.396,BELOW,0.2,WEAK,0.704,AVERAGE,,,0.589,AVERAGE,0.322,BELOW,0.169,WEAK,0.524,AVERAGE,,,,,,,,,,,,,823,Defensiver AV
Lionel Voufack,RB Leipzig U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,19,U21,vollständig,31.93,🔵 HIGH,3.0,3.39,772.67,405.57,1178.24,1.98,4.0,🔼 HIGH,99.7,473.62,228.92,702.54,1.34,4.0,✅ YES,106.6,0.55,0.64,1.2,2.04,3.0,-0.11,17.5,0.743,AVERAGE,🔥 ELITE TARGET,0.699,AVERAGE,,,,,0.864,STRONG,0.735,AVERAGE,0.734,AVERAGE,0.259,BELOW,,,0.852,STRONG,0.571,AVERAGE,0.578,AVERAGE,0.248,WEAK,,,,,,,,,,,,,1167,Defensiver AV
Edmund  Baidoo,Salzburg,AUT BL,AUT - Bundesliga,Striker,DACH,20,U21,vollständig,31.25,🔵 HIGH,3.0,2.71,854.58,348.64,1203.22,2.17,4.0,🔼 HIGH,181.6,490.13,160.8,650.94,1.33,4.0,✅ YES,123.1,0.66,0.86,1.22,2.09,2.0,0.0,17.0,0.52,AVERAGE,🔥 ELITE TARGET,,,,,0.118,WEAK,,,0.555,AVERAGE,,,,,,,,,0.652,AVERAGE,,,0.813,STRONG,,,0.651,AVERAGE,0.372,BELOW,0.325,BELOW,0.585,AVERAGE,,,864,Lauerstürmer
Tare Augustine Ekereokosu,Rapid Wien II,AUT 2.L,AUT - 2. Liga,Winger,DACH,18,U21,vollständig,31.04,🔵 HIGH,3.0,2.5,860.18,409.15,1269.33,1.88,4.0,🔼 HIGH,187.2,399.95,107.75,507.7,0.44,4.0,✅ YES,32.9,0.67,0.72,1.22,2.04,2.0,0.01,17.0,0.222,WEAK,🟡 WATCHLIST,,,,,,,,,0.105,WEAK,,,,,,,,,0.061,WEAK,0.014,WEAK,0.91,ELITE,0.562,AVERAGE,,,0.824,STRONG,,,0.024,WEAK,0.434,BELOW,473,Tiefenläufer
Moritz Broschinski,Basel,SUI SL,SUI - Super League,Striker,DACH,26,24+,vollständig,31.21,🔵 HIGH,3.0,2.67,735.31,445.53,1180.84,2.98,4.0,🔼 HIGH,62.4,407.8,205.38,613.19,1.65,4.0,✅ YES,40.8,0.68,0.69,1.32,2.06,2.0,0.02,17.0,0.064,WEAK,🟡 WATCHLIST,,,,,0.294,BELOW,,,0.044,WEAK,,,,,,,,,0.161,WEAK,,,0.642,AVERAGE,,,0.423,BELOW,0.219,WEAK,0.395,BELOW,0.132,WEAK,,,381,Allrounder
Bung Meng Freimann,Luzern,SUI SL,SUI - Super League,Central Defender,DACH,21,U23,vollständig,31.02,🔵 HIGH,3.0,2.48,682.75,332.27,1015.02,3.49,4.0,🔼 HIGH,9.8,419.28,173.54,592.82,2.79,4.0,✅ YES,52.2,0.62,0.9,1.26,2.2,2.0,-0.04,17.0,0.7,AVERAGE,🔥 ELITE TARGET,0.452,BELOW,0.248,WEAK,0.366,BELOW,0.811,STRONG,0.795,STRONG,0.822,STRONG,0.534,AVERAGE,0.386,BELOW,0.918,ELITE,,,,,,,,,,,,,,,,,,,1651,Spielaufbauer
Patrick  Kurzen,Bocholt,RL West,GER - Regionalliga West,Fullback,DACH,30,24+,vollständig,31.09,🔵 HIGH,3.0,2.55,654.11,366.46,1020.57,1.75,3.0,🔼 HIGH,-18.8,368.68,197.93,566.61,0.91,4.0,✅ YES,1.6,0.62,0.67,1.19,1.96,4.0,-0.04,17.0,0.469,BELOW,🟡 WATCHLIST,0.677,AVERAGE,,,,,0.146,WEAK,0.237,WEAK,0.536,AVERAGE,0.848,STRONG,,,0.157,WEAK,0.76,STRONG,0.61,AVERAGE,0.355,BELOW,,,,,,,,,,,,,994,Aufbauspieler
Touré Bazoumana,Hoffenheim,BL DE,GER - Bundesliga,Fullback,DACH,20,U21,vollständig,31.82,🔵 HIGH,3.0,3.28,878.31,458.53,1336.84,2.74,4.0,🔼 HIGH,205.4,412.55,162.19,574.74,1.06,4.0,✅ YES,45.5,0.67,0.7,1.35,2.0,2.0,0.01,17.0,0.875,STRONG,🔥 ELITE TARGET,0.974,ELITE,,,,,0.707,AVERAGE,0.312,BELOW,0.261,BELOW,0.947,ELITE,,,0.776,STRONG,0.794,STRONG,0.55,AVERAGE,0.996,ELITE,,,,,,,,,,,,,1456,Flügelläufer
Beni Ngyombo,Kaiserslautern U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,19,U21,vollständig,32.21,⚡ ELITE,4.0,3.67,606.26,330.95,937.21,1.69,3.0,🔼 HIGH,-66.7,360.38,175.2,535.58,0.94,3.0,✅ YES,-6.7,0.63,0.65,1.23,2.06,3.0,-0.03,17.0,0.477,BELOW,🟡 WATCHLIST,0.214,WEAK,,,,,0.703,AVERAGE,0.44,BELOW,0.384,BELOW,0.256,BELOW,,,0.864,STRONG,0.284,BELOW,0.299,BELOW,0.9,ELITE,,,,,,,,,,,,,579,Flügelläufer
Aviel  Hentcho,Bayern München U19,U17 BL,GER - U17 Bundesliga,Winger,DACH,17,U21,vollständig,32.02,⚡ ELITE,4.0,3.48,824.82,441.09,1265.91,1.07,4.0,🔼 HIGH,151.9,385.62,138.73,524.35,0.0,3.0,✅ YES,18.6,0.63,0.76,1.49,2.04,1.0,-0.03,17.0,0.619,AVERAGE,🔥 ELITE TARGET,,,,,,,,,0.491,BELOW,,,,,,,,,0.347,BELOW,0.401,BELOW,0.437,BELOW,0.725,AVERAGE,,,0.647,AVERAGE,,,0.872,STRONG,0.518,AVERAGE,824,Box-Threat
Chernoh   Bah,Fortuna Düsseldorf U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,19,U21,vollständig,32.0,⚡ ELITE,4.0,3.46,607.78,281.53,889.31,1.97,3.0,🔼 HIGH,-65.2,414.64,134.17,548.8,1.21,4.0,✅ YES,47.6,0.81,,,2.47,0.0,0.15,17.0,0.801,STRONG,🔥 ELITE TARGET,,,,,,,,,0.455,BELOW,,,,,,,,,0.87,STRONG,0.808,STRONG,0.576,AVERAGE,0.484,BELOW,,,0.485,BELOW,,,0.67,AVERAGE,0.821,STRONG,207,Dribbler
Konstantin Aleksa,Austria Wien II,AUT 2.L,AUT - 2. Liga,Striker,DACH,19,U21,vollständig,33.45,⚡ ELITE,4.0,4.91,761.49,539.02,1300.51,3.22,4.0,🔼 HIGH,88.5,333.51,187.48,520.99,1.1,3.0,✅ YES,-33.5,0.65,0.73,1.41,2.25,1.0,-0.01,17.0,0.759,STRONG,🔥 ELITE TARGET,,,,,0.093,WEAK,,,0.698,AVERAGE,,,,,,,,,0.816,STRONG,,,0.986,ELITE,,,0.649,AVERAGE,0.839,STRONG,0.345,BELOW,0.315,BELOW,,,294,Vollstürmer
Manuel Polster,Stade Nyonnais,SUI CL,SUI - Challenge League,Fullback,DACH,24,24+,vollständig,32.42,⚡ ELITE,4.0,3.88,578.22,347.87,926.09,3.51,3.0,🔼 HIGH,-94.7,317.44,179.98,497.42,1.99,3.0,✅ YES,-49.6,0.62,0.67,1.26,2.18,3.0,-0.04,17.0,0.02,WEAK,🟡 WATCHLIST,0.016,WEAK,,,,,0.003,WEAK,0.073,WEAK,0.003,WEAK,0.887,STRONG,,,0.1,WEAK,0.049,WEAK,0.018,WEAK,0.296,BELOW,,,,,,,,,,,,,321,Allrounder
Devin aaron Laroussi,Darmstadt 98 U19,U19 BL,GER - U19 Bundesliga,Striker,DACH,19,U21,vollständig,31.03,🔵 HIGH,3.0,2.49,834.68,414.35,1249.03,1.5,4.0,🔼 HIGH,161.7,458.99,204.41,663.4,0.29,3.0,✅ YES,91.9,0.65,0.67,1.22,1.93,4.0,-0.01,16.5,0.272,BELOW,🟡 WATCHLIST,,,,,0.028,WEAK,,,0.355,BELOW,,,,,,,,,0.194,WEAK,,,0.324,BELOW,,,0.809,STRONG,0.821,STRONG,0.04,WEAK,0.822,STRONG,,,395,Vollstürmer
Yanic Grund,Dynamo Dresden U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,18,U21,vollständig,31.14,🔵 HIGH,3.0,2.6,716.27,340.62,1056.9,0.9,4.0,🔼 HIGH,43.3,370.98,144.69,515.67,0.3,3.0,✅ YES,3.9,0.64,0.68,1.25,1.83,4.0,-0.02,16.5,0.434,BELOW,🟡 WATCHLIST,,,,,,,,,0.242,WEAK,,,,,,,,,0.557,AVERAGE,0.21,WEAK,0.79,STRONG,0.522,AVERAGE,,,0.826,STRONG,,,0.511,AVERAGE,0.15,WEAK,717,Tiefenläufer
Montrell Culbreath,Bayer Leverkusen,BL DE,GER - Bundesliga,Fullback,DACH,19,U21,vollständig,32.07,⚡ ELITE,4.0,3.53,874.04,492.1,1366.14,2.11,4.0,🔼 HIGH,201.1,338.46,156.5,494.96,0.53,3.0,✅ YES,-28.6,0.83,,1.42,,0.0,0.17,16.5,0.565,AVERAGE,🔥 ELITE TARGET,0.934,ELITE,,,,,0.028,WEAK,0.447,BELOW,0.098,WEAK,0.868,STRONG,,,0.695,AVERAGE,0.445,BELOW,0.261,BELOW,0.94,ELITE,,,,,,,,,,,,,550,Flügelläufer
Christoph   Meister,Greuther Fürth II,RL Bayern,GER - Regionalliga Bayern,Fullback,DACH,22,U23,vollständig,31.0,🔵 HIGH,3.0,2.46,804.7,452.31,1257.02,1.76,4.0,🔼 HIGH,131.8,408.95,193.4,602.35,0.67,4.0,✅ YES,41.9,0.73,0.73,1.35,2.23,1.0,0.07,16.5,0.974,ELITE,🔥 ELITE TARGET,0.887,STRONG,,,,,0.887,STRONG,0.688,AVERAGE,0.647,AVERAGE,0.878,STRONG,,,0.837,STRONG,0.941,ELITE,0.628,AVERAGE,0.85,STRONG,,,,,,,,,,,,,348,Offensiver AV
